GO_term	score
GO:0004707	1
GO:0005634	1
GO:0006468	1
GO:0007165	1
GO:0006915	1
GO:0060070	1
GO:0004693	1
GO:0000308	1
GO:0005829	1
GO:0006260	1
GO:0000082	1
GO:0000086	1
GO:0005874	1
GO:0008017	1
GO:0007079	1
GO:0000808	1
GO:0071158	1
GO:0019901	1
GO:0004722	1
GO:0000079	1
GO:0051726	1
GO:0006282	1
GO:0005819	1
GO:0008134	1
GO:0034451	1
GO:0005814	1
GO:0007099	1
GO:0051298	1
GO:0060271	1
GO:0032154	1
GO:0008274	1
GO:0007020	1
GO:0090307	1
GO:0000242	1
GO:0016310	1
GO:0005515	1
GO:0030674	1
GO:0071539	1
GO:0031146	1
GO:0019005	1
GO:0000075	1
GO:0006281	1
GO:0000076	1
GO:0019904	1
GO:0005657	1
GO:0006916	1
GO:0005739	1
GO:0051605	1
GO:0016567	1
GO:0042981	1
GO:0098562	1
GO:0051234	1
GO:0006811	1
GO:0051179	1
GO:0006996	1
GO:0005886	1
GO:0065008	1
GO:0022857	1
GO:0006810	1
GO:0005215	1
GO:0004674	1
GO:0000187	1
GO:0000165	1
GO:0051019	1
GO:0048273	1
GO:0007243	1
GO:0051301	1
GO:0007096	1
GO:0071850	1
GO:0005730	1
GO:0004721	1
GO:0004672	1
GO:0004682	1
GO:0005956	1
GO:0042752	1
GO:0009411	1
GO:0016055	1
GO:0007049	1
GO:0016538	1
GO:0004681	1
GO:0042169	1
GO:0008283	1
GO:0000785	1
GO:0035189	1
GO:0001558	1
GO:0003714	1
GO:0003700	1
GO:0030528	1
GO:0140110	1
GO:0016032	1
GO:0005783	1
GO:0005576	1
GO:0005794	1
GO:0006487	1
GO:0018279	1
GO:0016740	1
GO:0016757	1
GO:0000074	1
GO:0003901	1
GO:0007091	1
GO:0003755	1
GO:0007088	1
GO:0007089	1
GO:0006366	1
GO:0050699	1
GO:0003876	1
GO:0072709	1
GO:0007507	1
GO:0035556	1
GO:0006355	1
GO:0005667	1
GO:0016604	1
GO:0016605	1
GO:0030578	1
GO:0060968	1
GO:0032880	1
GO:0033233	1
GO:0032183	1
GO:0032184	1
GO:0051382	1
GO:0000281	1
GO:0005654	1
GO:0031054	1
GO:1905405	1
GO:0006974	1
GO:0051568	1
GO:0035097	1
GO:0070001	1
GO:0030430	1
GO:0039662	1
GO:0044003	1
GO:0140221	1
GO:0009405	1
GO:0008320	1
GO:0030581	1
GO:0009898	1
GO:0007346	1
GO:0023052	1
GO:0042277	1
GO:0016579	1
GO:0004843	1
GO:0015629	1
GO:0007155	1
GO:0030154	1
GO:0007166	1
GO:0018108	1
GO:0030335	1
GO:0032956	1
GO:0005070	1
GO:0005680	1
GO:0007094	1
GO:0007275	1
GO:0000045	1
GO:0006914	1
GO:0098560	1
GO:0042113	1
GO:0050853	1
GO:0016481	1
GO:0006606	1
GO:0016925	1
GO:0010468	1
GO:0019940	1
GO:0016927	1
GO:0045941	1
GO:0045449	1
GO:0003713	1
GO:0003712	1
GO:0016022	1
GO:0005789	1
GO:0030176	1
GO:0012507	1
GO:0012508	1
GO:0005554	1
GO:0006621	1
GO:0045047	1
GO:0006605	1
GO:0006890	1
GO:0005791	1
GO:0005488	1
GO:0007154	1
GO:0008150	1
GO:0005925	1
GO:0017124	1
GO:0005813	1
GO:0090166	1
GO:0043065	1
GO:1902806	1
GO:0048168	1
GO:0001666	1
GO:0008608	1
GO:0000775	1
GO:0007059	1
GO:0000776	1
GO:0035307	1
GO:0051721	1
GO:0051988	1
GO:0045334	1
GO:0006897	1
GO:0015029	1
GO:0006898	1
GO:0005068	1
GO:0098978	1
GO:0060090	1
GO:2000969	1
GO:0014069	1
GO:0098839	1
GO:0061001	1
GO:0000077	1
GO:0006975	1
GO:0016447	1
GO:0006024	1
GO:0030210	1
GO:0030158	1
GO:0042285	1
GO:0008151	1
GO:0005977	1
GO:0006936	1
GO:0006470	1
GO:0008157	1
GO:0004864	1
GO:0000164	1
GO:0005865	1
